sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
HTTP Request,1,2313,2313,2313,2313,2313,1.0,0.4323389537397319,0.7937472978815391
TOTAL,1,2313,2313,2313,2313,2313,1.0,0.4323389537397319,0.7937472978815391
