sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
HTTP Request,1,2321,2321,2321,2321,2321,1.0,0.4308487720809996,0.7901699159844894
TOTAL,1,2321,2321,2321,2321,2321,1.0,0.4308487720809996,0.7901699159844894
