sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
HTTP Request,2,2281,2252,2310,2252,2310,1.0,0.038505968425105896,0.07076975837504813
TOTAL,2,2281,2252,2310,2252,2310,1.0,0.038505968425105896,0.07076975837504813
