sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
HTTP Request,2,2284,2260,2308,2260,2308,1.0,0.041631973355537054,0.07635238863447127
TOTAL,2,2284,2260,2308,2260,2308,1.0,0.041631973355537054,0.07635238863447127
