sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
HTTP Request,1,2310,2310,2310,2310,2310,1.0,0.4329004329004329,0.7956236471861472
TOTAL,1,2310,2310,2310,2310,2310,1.0,0.4329004329004329,0.7956236471861472
