sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
HTTP Request,1,2302,2302,2302,2302,2302,1.0,0.43440486533449174,0.796691735447437
TOTAL,1,2302,2302,2302,2302,2302,1.0,0.43440486533449174,0.796691735447437
